シリーズ,商品コード,年月,実績,ハイブリッド,現行計画
シャード,BBBBB000115,202406,1,2.7453,3.546875
シャード,BBBBB000116,202406,7,4.8042,2.364583333
シャード,BBBBB000117,202406,6,4.2895,5.3203125
シャード,BBBBB000118,202406,9,2.5737,2.955729167
シャード,BBBBB000119,202406,4,4.1179,8.276041667
シャード,BBBBB000120,202406,6,1.7158,7.684895833
シャード,BBBBB000121,202406,5,2.059,4.138020833
シャード,BBBBB000122,202406,2,3.4316,2.955729167
シャード,BBBBB000123,202406,1,2.059,4.138020833
シャード,BBBBB000124,202406,3,4.8042,1.7734375
シャード,BBBBB000125,202406,2,1.3726,2.955729167
シャード,BBBBB000126,202406,2,1.7158,3.546875
シャード,BBBBB000127,202406,0,4.6327,4.138020833
シャード,BBBBB000128,202406,5,1.7158,1.7734375
シャード,BBBBB000129,202406,6,3.4316,4.729166667
シャード,BBBBB000130,202406,4,2.4021,1.182291667
シャード,BBBBB000131,202406,5,1.5442,4.729166667
シャード,BBBBB000132,202406,8,4.6327,8.276041667
シャード,BBBBB000133,202406,10,0.3432,1.7734375
シャード,BBBBB000134,202406,0,1.3726,1.182291667
シャード,BBBBB000135,202406,3,2.2305,6.502604167
シャード,BBBBB000136,202406,5,3.7748,4.729166667
シャード,BBBBB000137,202406,4,2.5737,0.591145833
シャード,BBBBB000138,202406,0,4.9758,6.502604167
シャード,BBBBB000139,202406,3,0.6863,4.138020833
シャード,BBBBB000140,202406,3,1.8874,4.729166667
シャード,BBBBB000141,202406,1,1.2011,1.182291667
シャード,BBBBB000142,202406,4,2.2305,1.182291667
シャード,BBBBB000143,202406,1,1.0295,4.729166667
シャード,BBBBB000144,202406,6,2.9169,1.182291667
シャード,BBBBB000145,202406,2,2.5737,1.182291667
シャード,BBBBB000146,202406,7,3.7748,0.591145833
シャード,BBBBB000147,202406,1,3.4316,0.591145833
シャード,BBBBB000148,202406,2,1.3726,3.546875
シャード,BBBBB000149,202406,8,1.2011,0
シャード,BBBBB000150,202406,1,1.0295,2.364583333
シャード,BBBBB000151,202406,2,1.8874,1.7734375
シャード,BBBBB000152,202406,4,1.3726,2.955729167
シャード,BBBBB000153,202406,2,1.5442,2.364583333
シャード,BBBBB000154,202406,1,3.0884,5.3203125
シャード,BBBBB000155,202406,2,1.8874,0
シャード,BBBBB000156,202406,0,0.6863,0.591145833
シャード,BBBBB000157,202406,2,1.0295,1.182291667
シャード,BBBBB000158,202406,5,1.8874,2.955729167
シャード,BBBBB000159,202406,5,1.3726,2.955729167
シャード,BBBBB000160,202406,2,2.5737,1.7734375
シャード,BBBBB000161,202406,0,3.26,0.591145833
シャード,BBBBB000162,202406,7,1.2011,2.955729167
シャード,BBBBB000163,202406,6,0,0.591145833
シャード,BBBBB000164,202406,2,0.8579,1.182291667
シャード,BBBBB000165,202406,4,0.6863,0.591145833
シャード,BBBBB000166,202406,4,0.5147,1.182291667
シャード,BBBBB000167,202406,2,2.5737,1.7734375
シャード,BBBBB000168,202406,3,0.6863,0
シャード,BBBBB000169,202406,0,2.059,4.729166667
シャード,BBBBB000170,202406,1,1.0295,1.7734375
シャード,BBBBB000171,202406,2,2.059,1.182291667
シャード,BBBBB000172,202406,3,3.7748,4.729166667
シャード,BBBBB000173,202406,6,2.9169,2.364583333
シャード,BBBBB000174,202406,1,1.0295,3.546875
シャード,BBBBB000175,202406,2,1.3726,1.7734375
シャード,BBBBB000176,202406,3,3.4316,5.911458333
シャード,BBBBB000177,202406,4,1.2011,1.7734375
シャード,BBBBB000178,202406,3,1.2011,0.591145833
シャード,BBBBB000179,202406,0,0.8579,2.364583333
シャード,BBBBB000180,202406,3,4.8042,2.955729167
シャード,BBBBB000181,202406,3,1.3726,2.955729167
シャード,BBBBB000182,202406,4,2.5737,2.955729167
シャード,BBBBB000183,202406,4,2.9169,4.138020833
シャード,BBBBB000184,202406,3,2.4021,1.182291667
シャード,BBBBB000185,202406,8,3.0884,6.502604167
シャード,BBBBB000186,202406,1,3.7748,3.546875
シャード,BBBBB000187,202406,4,5.6621,2.955729167
シャード,BBBBB000188,202406,0,1.2011,0
シャード,BBBBB000189,202406,2,2.059,4.729166667
シャード,BBBBB000190,202406,6,5.4906,2.364583333
シャード,BBBBB000191,202406,1,4.2895,8.276041667
シャード,BBBBB000192,202406,2,1.5442,2.955729167
シャード,BBBBB000193,202406,2,0,1.182291667
シャード,BBBBB000194,202406,2,0,0
シャード,BBBBB000195,202406,1,1.0295,1.7734375
シャード,BBBBB000196,202406,0,1.3726,2.364583333
シャード,BBBBB000197,202406,2,1.0295,1.182291667
シャード,BBBBB000198,202406,7,0,0
シャード,BBBBB000199,202406,0,2.059,1.7734375
シャード,BBBBB000200,202406,2,0.6863,1.7734375
シャード,BBBBB000201,202406,0,2.5737,0.591145833
シャード,BBBBB000202,202406,7,2.2305,4.138020833
シャード,BBBBB000203,202406,3,2.5737,3.546875
シャード,BBBBB000204,202406,3,2.059,5.3203125
シャード,BBBBB000205,202406,1,2.5737,1.182291667
シャード,BBBBB000206,202406,3,1.3726,0.591145833
シャード,BBBBB000207,202406,2,0,0
シャード,BBBBB000208,202406,0,1.7158,0
シャード,BBBBB000209,202406,6,1.2011,4.138020833
シャード,BBBBB000210,202406,1,0.5147,1.182291667
シャード,BBBBB000211,202406,2,1.0295,1.182291667
シャード,BBBBB000212,202406,3,1.2011,4.729166667
シャード,BBBBB000213,202406,2,3.4316,0
シャード,BBBBB000214,202406,1,0.5147,1.7734375
シャード,BBBBB000215,202406,4,1.3726,2.364583333
シャード,BBBBB000216,202406,3,1.8874,5.911458333
シャード,BBBBB000217,202406,1,1.0295,0.591145833
シャード,BBBBB000218,202406,0,1.8874,0
シャード,BBBBB000219,202406,2,2.7453,3.546875
シャード,BBBBB000220,202406,2,1.0295,2.364583333
シャード,BBBBB000221,202406,0,0.8579,1.7734375
シャード,BBBBB000222,202406,1,2.4021,5.3203125
シャード,BBBBB000223,202406,3,1.5442,2.955729167
シャード,BBBBB000224,202406,0,1.3726,1.7734375
シャード,BBBBB000225,202406,3,3.7748,4.138020833
シャード,BBBBB000226,202406,5,3.4316,4.138020833
