品目,マッピング,年月,実績,森①,森②,計画
本体_新,DAAA1新,202510,285495,19042.83,42479.69,344048.99
本体_旧,DAAA1旧,202510,2730198,2996650.17,2973213.31,2671644.01
本体_新,DAAA2新,202510,99817,72868.71,112621.92,112621.92
本体_旧,DAAA2旧,202510,887348,914296.29,874543.08,874543.08
本体_新,DABA1新,202510,9912,0,0,20656.79
本体_旧,DABA1旧,202510,171151,181063,181063,160406.21
本体_新,DABA2新,202510,4064,759.67,2986.35,5316.3
本体_旧,DABA2旧,202510,42535,45839.33,43612.65,41282.7
本体_新,DACA1新,202510,16428,0,0,15817.37
本体_旧,DACA1旧,202510,122216,138644,138644,122826.63
本体_新,DACA2新,202510,2094,0,457.63,3706.43
本体_旧,DACA2旧,202510,30394,32488,32030.37,28781.57
本体_新,EAAA1新,202510,16114,1177.72,1266.9,10260.8
本体_旧,EAAA1旧,202510,73825,88761.28,88672.1,79678.2
本体_新,EAAA2新,202510,5943,2884.37,2102.61,2102.61
本体_旧,EAAA2旧,202510,12487,15545.63,16327.39,16327.39
本体_新,EABA1新,202510,143,87.37,78.38,78.38
本体_旧,EABA1旧,202510,544,599.63,608.62,608.62
本体_新,EABA2新,202510,101,111.59,95.34,41.19
本体_旧,EABA2旧,202510,260,249.41,265.66,319.81
本体_新,EACA1新,202510,1556,239.41,395.16,703.46
本体_旧,EACA1旧,202510,4610,5926.59,5770.84,5462.54
本体_新,EACA2新,202510,186,73.33,86.96,154.81
本体_旧,EACA2旧,202510,1171,1283.67,1270.04,1202.19
本体_新,FAAA1新,202510,3505,0,136,1101.5
本体_旧,FAAA1旧,202510,6150,9655,9519,8553.5
本体_新,FAAA2新,202510,1041,293.57,247.22,247.22
本体_旧,FAAA2旧,202510,1126,1873.43,1919.78,1919.78
本体_新,FACA1新,202510,359,0,0,366.33
本体_旧,FACA1旧,202510,2852,3211,3211,2844.67
本体_新,FACA2新,202510,58,85.34,127.55,127.55
本体_旧,FACA2旧,202510,1060,1032.66,990.45,990.45
枠_新,ABAA9新,202511,761,431.47,430.01,385.649257
枠_旧,ABAA9旧,202511,308,637.53,638.99,683.350743
枠_新,ACAA9新,202511,981,559.75,521.65,521.6546544
枠_旧,ACAA9旧,202511,465,886.25,924.35,924.3453456
枠_新,BAA7新,202511,1416467,"1,609,256.90","1,531,099.34",1531099.341
枠_旧,BAA7旧,202511,2827662,"2,634,872.10","2,713,029.66",2713029.659
枠_新,BAA8新,202511,3648,"2,764.60","2,726.60",2726.601576
枠_旧,BAA8旧,202511,3910,"4,793.40","4,831.40",4831.398424
枠_新,BBA7新,202511,619995,"855,066.16","900,214.31",900214.3144
枠_旧,BBA7旧,202511,1875353,"1,640,281.84","1,595,133.69",1595133.686
枠_新,BBA8新,202511,446,244.45,258.86,300.5105997
枠_旧,BBA8旧,202511,387,588.55,574.14,532.4894003
枠_新,BCA7新,202511,2221020,"2,308,313.58","2,259,030.53",2259030.532
枠_旧,BCA7旧,202511,4040897,"3,953,603.42","4,002,886.47",4002886.468
枠_新,BCA8新,202511,182,147.75,156.31,181.4607823
枠_旧,BCA8旧,202511,321,355.25,346.69,321.5392177
枠_新,BDA7新,202511,1820749,"1,465,789.54","1,410,805.89",1265256.048
枠_旧,BDA7旧,202511,1686476,"2,041,435.46","2,096,419.11",2241968.952
枠_新,BDA8新,202511,340,277.54,274.34,246.0362893
枠_旧,BDA8旧,202511,342,404.46,407.66,435.9637107
枠_新,BEA7新,202511,36099,"25,084.07","25,662.45",25662.45079
枠_旧,BEA7旧,202511,35036,"46,050.93","45,472.55",45472.54921
枠_新,BEA8新,202511,42,370.59,384.06,484.8574382
枠_旧,BEA8旧,202511,1302,973.41,959.94,859.1425618
枠_新,BFA7新,202511,5484,"2,822.29","2,967.87",3746.822435
枠_旧,BFA7旧,202511,4902,"7,563.71","7,418.13",6639.177565
枠_新,CAA7新,202511,1293440,"1,600,813.06","1,625,839.91",1625839.907
枠_旧,CAA7旧,202511,3213305,"2,905,931.94","2,880,905.09",2880905.093
枠_新,CAA8新,202511,3256,"2,340.17","2,356.35",2974.802407
枠_旧,CAA8旧,202511,4990,"5,905.83","5,889.65",5271.197593
枠_新,CBA7新,202511,613730,"882,877.93","920,108.26",920108.2604
枠_旧,CBA7旧,202511,1936763,"1,667,615.07","1,630,384.74",1630384.74
枠_新,CBA8新,202511,162,141.93,143.26,166.3089873
枠_旧,CBA8旧,202511,299,319.07,317.74,294.6910127
枠_新,CCA7新,202511,2151235,"2,156,246.74","2,176,003.39",2176003.385
枠_旧,CCA7旧,202511,3880535,"3,875,523.26","3,855,766.61",3855766.615
枠_新,CCA8新,202511,314,117.13,122.13,141.7775098
枠_旧,CCA8旧,202511,79,275.87,270.87,251.2224902
枠_新,CDA7新,202511,1754075,"1,308,846.17","1,241,831.73",1241831.734
枠_旧,CDA7旧,202511,1688219,"2,133,447.83","2,200,462.27",2200462.266
枠_新,CDA8新,202511,219,151.37,152.02,191.9227359
枠_旧,CDA8旧,202511,313,380.63,379.98,340.0772641
